	comment	label
0	____ ____ _____ ___ ___.__ ____ ___ ___________. ______. 	1
1	____ ____ ___ ____ _____ ____. _____ 	1
2	"__, ___ ___! ___ ____ __ ___ ____ __ ____ ___ __ ___ ____ __ _ ___ ___ __ ___ _ _ ___ ____ ______ __ __ ___ ____ _____ _____ _ __ ___ _____ "	1
3	"___ ___ __ ____ _____ __ ___ ___ __ ___ ___ __ ___.___ ___ __ , ___ ____ ____ __ ____ __ ____ ___ ____ _ ___ __ ____ ___!_._._._ "	1
4	20___ ____ ___ _____ __________ ____ __..___ ___ __ ___ ___ ____________ 	1
5	_ ____. ____ ___ _____ __ 	1
6	___ ___ ___ ___. 	1
7	___ __ ____. ____ __ __ ___ ___ ____. ___ _ ____ _ ______ 	1
8	____ ___ ___ ___. 2014_ _____ _____.__ _______ _______ ____1________ ___ ___ _____ 5~6_____________ __ ___ __21_____ ______ __ ________. 	1
9	_______________ _____ 	1
10	__ __  ____.. _____ ___ ___ _____ .. 	1
11	__________ _____ ______! 	1
12	_  ____  ___ _  __ ... 	1
13	__ __ ___ ___ ___ ___ __ _____ ____ _______ _____ __ 	1
14	"__ ___ ___ _____ ___ ___ ___ _____.  50_ _ ____ ___ _____, 6.25 ___ __ ___ __ __ _ ___ _ _ _____, __ ___ _ __ _ __ __ ___ ____ __ _____.! "	1
15	___ ___ ___!! ____ __ 	1
16	______ __ _____! ____ ___ ___ ____ ___ '___'____?_ ___ ___ __ ___ __? __ ____ ___..__ ___ __ ___. _._._._._. 	1
17	___ ______ ___ __ ___ __ __ ______ ___ __  __ ____ __ ____  __ _ __ ___ ___ ___ __ ! _____ ___ _ _____. 	1
18	____ ____ ___ 	1
19	___ _ __ ___ ____ _____ ___ ________ _ ___ _____ ____ _____ ___?? __ ___???___ _____ ____ ___ ________ _____ ____ ____ 	1
20	____ ___ __ __ __ ___ _____ ___ __  __ ____ 	1
21	"_____ ____ __ _____. ___ __ __, ____ __ ___ _____ __ ______ ____ ____. "	1
22	____ ____ ____ ____ _______ ___ ____ ______.... _____ ___ 	1
23	__ ___!  ___! 	1
24	__________ 	1
25	___ ______ __ _ _____ _______ 	1
26	_____ ____ _____ ____ __ __ 	1
27	______ _______... 	1
28	__ ______ _________ 	1
29	_____ ____ ____ ______. __ __ __ ____ ... ____ _______. 	1
30	____. __ __ __ _____. ____~~ 	1
31	___________.. 	1
32	__     ______ ___ 	1
33	__ _ __ ___ _ _ ___. ____ __ ___. 	1
34	______ _____ _ ___ 	1
35	__ ____ ______ __ ____ ____.___________ ____ ___ _____.____ _______ ______ ____ __________. ___________ __ _____ ______ __ 	1
36	____ _____ ____.. 	1
37	__ ___ ____ _ __... ____. _____ __ ___ __ __ _ _ __. __ ______ __ __ ___- 	1
38	____ ____ ___ 30%_ ___ ____ _____ 	1
39	___ ____ _____ ___ ____ ____;; __ __ __ ____ _____. ____ _ ___ __ ___ ___ __ _____!! 	1
40	___ ___ __ ___.__ __ __ ___+_+ 	1
41	___ ______ ______._____ 	1
42	"__ __ __ ___ __ _!  _____ ___ ____ ___ ____, ___ ______ ___ ___ ___ ____ __ __ ____. "	1
43	_____ __ ______ ______ __ _____ __ _______ ______ ____. 	1
44	_____ _____ _ 	1
45	__ __. ___ ____ _____ ___ ______ ____ __. ___ ___ _ ___. 	1
46	"___, _ __ __ __ _____. "	1
47	________________10__ 	1
48	___ ____ ____ ___ __ ___ 	1
49	____ ____ __ ___ __ ____ ___ ___ ____ __ ___ __ 	1
50	____ ___ ___ ___ ____ 	1
51	____ ___ ___ ____~ 	1
52	__  _____._________. 	1
53	____ ___ ___ __ 	1
54	___ ___ ____ ___ __ ___ __ ___ ___ ___ _ ___. ___ ___ ___ ___ ___ ____ ____ _____ ___ _ __ ____ ______?___ ____ ___ ___...._____ ____ ___ 	1
55	__ __ ___ ___ __ ___ ____ ____ _____. _..._ ___ ____. 	1
56	____ ____ ______? __ ____?___ ___ ___ ___ ____ ___ ___ 	1
57	__ _____ ____ ___.__ _____ ______ ___.__ __ _____ 	1
58	__ ___ _____ ______ 	1
59	____ ___ ___ ___ ____ __ ____ 	1
60	___ ___ ____ ___ ___ __ ____ ____ ____ _____. _ ____ ___ _____ ______ __ _____ ______ 	1
61	"__ ___!!!!___ __ __ ____^^____ __ ___ ___,__ __  __ __ __ ___ ____. "	1
62	___ ____ ___ __ __ ___ ___ __ ___ __ ___ __ ___ __ ___ __ _ ___ ___ __ __ ____ ___ ___ ___ _ ____ ____ ___ _ __ ___. - 1967_ ___ ____ - 	1
63	______  6.25__  _____  ______ __  ___ ____  _______ _____________ _______ _______. 	1
64	___ ___ ___ _____ ___ __ __ ___ _ ____ __ ___ ____ _____ ____ ____. 	1
65	__ _____ 10_____ 	1
66	____ __ ____ _______? _______ _____ _____ ___ _______ 	1
67	__ _______ ____ ____ 	1
68	____ ___ 50_  ___ ___ ___ __________ ___ ______ _____ 	1
69	_____. ______ 	1
70	______ __ ___ _____ __ 	1
71	___ _______ ___ ___ ___...___ ___ ___ ______...________ _____ ___... ______ _______?? 	1
72	_______  _____ 	1
73	____ _____... 	1
74	_____ ______ ______ 	1
75	___ 2014__ ____ ___ __ __ ____ _ ___ _____ ____?____ ___ ____ __ ___ ____ 	1
76	____ ____  _____^^___ __ __ ______~_____^^ 	1
77	_______ ___ _______ _______. ___ ___ ____ __! 	1
78	___ ___ ____ __ _____ ___...__ ___ ____... __ ___ _____._____. 	1
79	__ ___ ___ _________?_ 	1
80	__ ____ _ ___ ____ ____ ____ _____. 	1
81	___ ____ __ ____ __ 	1
82	__ ____. ___ ___ _ ___ ___ _ _ ____. 	1
83	__ ___ 5__ ____ _____ _______. ___ __21 _____ __ _____ _____ _____. 	1
84	____ __ __!___ _ __ _____! 	1
85	_____  _____^^ __ ___ ____^^ 	1
86	___ ___ ___ _____ ___ __ ______ __ _____ __ __  ___ _?___ ___ ____ __ ___ ___ ___ ___ ____ ____.. 	1
87	386___ _____ ___ __.. 	1
88	______.__ ____ 	1
89	__ ___. ____ ____ ______.____ _ _________ 	1
90	__ _____ ____? ___ __ ________ _____ ____ ___ ___ ____? _____ _____ ___ ______ _________..__? ____ ________ ____.____ ____. 	1
91	_ ___ ___  ___ ___ ____ ___ ___ ________  _____ _____ ___ ___ __ ____ ____ _____ ___ ___ __ ____ ___ ____ ____ _ ___ ____ _ _____ ______ 	1
